sublineage,time,mean,upper,lower,time_correct,year,upper_log,lower_log,log
L3.1.1.2,28358.15586,32344935.94,6.06E+07,4125384.45,188.1216959,1831.878304,7.782472624,6.615464427,7.198968526
L3.1.1.2,29002.65941,32857312.35,6.16E+07,4112641.397,192.4248681,1827.575132,7.789580712,6.614120843,7.201850777
L3.1.1.2,29647.16295,32928975.82,6.18E+07,4105662.373,196.6874442,1823.312556,7.790988475,6.613383233,7.202185854
L3.1.1.2,30291.66649,33258014.14,6.24E+07,4089404.477,200.9500204,1819.04998,7.79518459,6.611660068,7.203422329
L3.1.1.2,30936.17003,33444843.22,6.28E+07,4060288.245,205.2125966,1814.787403,7.797959644,6.608556866,7.203258255
L3.1.1.2,31580.67357,33793045.42,6.36E+07,4005938.753,209.5157688,1810.484231,7.803457116,6.602704305,7.20308071
L3.1.1.2,32225.17712,34025204.88,6.41E+07,3964264.801,213.778345,1806.221655,7.80685803,6.598162656,7.202510343
L3.1.1.2,32869.68066,34424790.51,6.49E+07,3914437.841,218.0409212,1801.959079,7.812244697,6.592669401,7.202457049
L3.1.1.2,33514.1842,34730653.29,6.56E+07,3858677.879,222.3440933,1797.655907,7.816903839,6.586438525,7.201671182
L3.1.1.2,34158.68774,35058579.43,6.63E+07,3772744.785,226.6066695,1793.39333,7.821513528,6.576657427,7.199085478
L3.1.1.2,34803.19129,35359073.12,6.71E+07,3645563.892,230.8692457,1789.130754,7.82672252,6.561764714,7.194243617
L3.1.1.2,35447.69483,35420978.15,6.73E+07,3556304.55,235.1724179,1784.827582,7.828015064,6.550998945,7.189507005
L3.1.1.2,36092.19837,35779530.4,6.82E+07,3398542.818,239.434994,1780.565006,7.833784375,6.531292746,7.18253856
L3.1.1.2,36736.70191,36121162.88,6.90E+07,3240329.739,243.6975702,1776.30243,7.838849091,6.510589207,7.174719149
L3.1.1.2,37381.20546,36430847.17,6.98E+07,3093777.074,248.0007424,1771.999258,7.843855423,6.490489017,7.16717222
L3.1.1.2,38025.709,36473977.52,7.00E+07,2924054.505,252.2633186,1767.736681,7.84509804,6.465985464,7.155541752
L3.1.1.2,38670.21254,36581296.46,7.04E+07,2768455.51,256.5258948,1763.474105,7.847572659,6.442237549,7.144905104
L3.1.1.2,39314.71608,36621616.68,7.06E+07,2636112.256,260.8290669,1759.170933,7.848804701,6.4209639,7.134884301
L3.1.1.2,39959.21963,36889817.59,7.13E+07,2496905.811,265.0916431,1754.908357,7.85308953,6.39740216,7.125245845
L3.1.1.2,40603.72317,37221955.52,7.21E+07,2366532.456,269.3542193,1750.645781,7.857935265,6.374112465,7.116023865
L3.1.1.2,41248.22671,37451075.85,7.26E+07,2278493.643,273.6573915,1746.342609,7.860936621,6.357647821,7.109292221
L3.1.1.2,41892.73025,37688679.09,7.32E+07,2195400.172,277.9199677,1742.080032,7.864511081,6.341513694,7.103012387
L3.1.1.2,42537.23379,38026254.2,7.39E+07,2120695.736,282.1825438,1737.817456,7.868644438,6.326478363,7.097561401
L3.1.1.2,43181.73734,38469365.05,7.49E+07,2057786.942,286.485716,1733.514284,7.874481818,6.313400407,7.093941112
L3.1.1.2,43826.24088,38754481.82,7.55E+07,1987109.742,290.7482922,1729.251708,7.877946952,6.298221853,7.088084402
L3.1.1.2,44470.74442,39070024.51,7.62E+07,1944948.279,295.0108684,1724.989132,7.881954971,6.288908057,7.085431514
L3.1.1.2,45115.24796,39137505.62,7.64E+07,1913579.512,299.3140405,1720.685959,7.883093359,6.281846513,7.082469936
L3.1.1.2,45759.75151,39336990.72,7.68E+07,1883837.753,303.5766167,1716.423383,7.88536122,6.275043496,7.080202358
L3.1.1.2,46404.25505,39714409.52,7.76E+07,1838717.522,307.8391929,1712.160807,7.889861721,6.264515015,7.077188368
L3.1.1.2,47048.75859,40000893.39,7.82E+07,1799866.858,312.1423651,1707.857635,7.893206753,6.25524038,7.074223567
L3.1.1.2,47693.26213,40251780.13,7.88E+07,1745022.766,316.4049413,1703.595059,7.896526217,6.241801097,7.069163657
L3.1.1.2,48337.76568,40516558.25,7.93E+07,1703195.742,320.6675175,1699.332483,7.899273187,6.231264563,7.065268875
L3.1.1.2,48982.26922,40611676.58,7.96E+07,1647752.133,324.9706896,1695.02931,7.900913068,6.216891883,7.058902475
L3.1.1.2,49626.77276,40952869.6,8.03E+07,1619857.666,329.2332658,1690.766734,7.904715545,6.209476856,7.0570962
L3.1.1.2,50271.2763,41215203.91,8.08E+07,1596653.267,333.495842,1686.504158,7.907411361,6.203210614,7.055310987
